label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,pos-mix-01
,364,364,1,59.042042,8.719,0.823020,,59.042042@8.719300,59.042042@8.719300,,0.000,0.000000,59.042042,61717.14
,365,365,1,98.984001,19.713,0.528607,,98.984001@19.713335,98.984001@19.713335,,0.000,0.000000,98.984001,43716.75
,366,366,1,59.047138,10.251,0.539401,,59.047138@10.251316,59.047138@10.251316,,0.000,0.000000,59.047138,65787.03
,367,367,1,61.066978,10.461,0.828392,,61.066978@10.461134,61.066978@10.461134,,0.000,0.000000,61.066978,94918.62
,368,368,1,61.066975,9.908,0.677767,,61.066975@9.907733,61.066975@9.907733,,0.000,0.000000,61.066975,51966.64
,369,369,1,59.076996,10.366,0.848260,,59.076996@10.366366,59.076996@10.366366,,0.000,0.000000,59.076996,92043.62
,370,370,1,92.016342,12.705,0.849313,,92.016342@12.704550,92.016342@12.704550,,0.000,0.000000,92.016342,73213.76
,371,371,1,59.057289,19.456,0.717066,,59.057289@19.456167,59.057289@19.456167,,0.000,0.000000,59.057289,95228.69
,372,372,1,59.041225,9.843,0.779281,,59.041225@9.843249,59.041225@9.843249,,0.000,0.000000,59.041225,56988.69
,373,373,1,59.041161,9.427,0.722274,,59.041161@9.426583,59.041161@9.426583,,0.000,0.000000,59.041161,41543.93
,374,374,1,108.011192,9.452,0.850623,,108.011192@9.452383,108.011192@9.452383,,0.000,0.000000,108.011192,81492.02
,375,375,1,59.046719,13.515,0.840427,,59.046719@13.515183,59.046719@13.515183,,0.000,0.000000,59.046719,57234.95
,376,376,1,106.107079,14.707,0.833813,,106.107079@14.706934,106.107079@14.706934,,0.000,0.000000,106.107079,76520.05
,377,377,1,87.055214,12.870,0.849929,,87.055214@12.870417,87.055214@12.870417,,0.000,0.000000,87.055214,84457.04
